Rank,Rank Δ,Player,Cons. Rating,Cons. Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Ws,Ls,Ds,W%,Opps Δ,Ws Δ,Ls Δ,Ds Δ,W% Δ,Timeouts,Timeouts Δ,Last Played,Active
-,-,holyknife,1461.73,0.0,1554.61,0.0,30.96,0.0,174,94,78,2,54.02,0.0,0.0,0.0,0.0,0.0,0,0.0,2022-06-05,False
492,10,fooledtwice,1461.73,7.73,1544.86,7.82,27.71,0.03,291,171,117,3,58.76,15.0,13.0,2.0,0.0,1.51,0,0.0,2024-12-10,True
493,-38,kermit19,1461.56,-12.18,1551.86,-14.73,30.1,-0.85,201,106,93,2,52.74,23.0,11.0,12.0,0.0,-0.63,0,0.0,2025-01-09,True
-,-,toadstool,1461.55,-0.76,1584.4,-0.73,40.95,0.01,90,58,31,1,64.44,0.0,0.0,0.0,0.0,0.0,0,0.0,2023-04-16,False
494,-23,eltanque35,1460.76,-3.51,1570.62,-13.62,36.62,-3.37,119,76,43,0,63.87,22.0,12.0,10.0,0.0,-2.11,0,0.0,2025-01-06,True
-,-,jskunsa,1460.59,0.0,1574.44,0.0,37.95,0.0,108,55,53,0,50.93,0.0,0.0,0.0,0.0,0.0,0,0.0,2021-06-02,False
495,-2,borman,1460.12,3.42,1584.92,-4.98,41.6,-2.8,99,64,34,1,64.65,18.0,13.0,4.0,1.0,1.69,0,0.0,2024-12-19,True
496,-15,alexo,1459.88,1.03,1558.22,1.09,32.78,0.02,162,96,64,2,59.26,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-09-04,True
-,-,blueray,1459.74,0.0,1598.88,0.0,46.38,0.0,72,36,36,0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2021-06-02,False
-,-,_pupu_,1459.73,2.96,1599.53,2.24,46.6,-0.24,66,35,30,1,53.03,0.0,0.0,0.0,0.0,0.0,0,0.0,2023-03-01,False
-,-,vlaada,1459.17,0.0,1794.36,0.0,111.73,0.0,18,14,3,1,77.78,0.0,0.0,0.0,0.0,0.0,0,0.0,2020-06-28,False
497,-18,buttoxide,1459.09,-0.36,1609.33,-0.3,50.08,0.02,70,49,21,0,70.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-09-04,True
-,-,castigar,1459.01,0.03,1547.0,0.03,29.33,0.0,234,121,112,1,51.71,0.0,0.0,0.0,0.0,0.0,0,0.0,2022-06-05,False
-,-,kencastle,1458.75,0.04,1590.54,0.04,43.93,0.0,72,38,33,1,52.78,0.0,0.0,0.0,0.0,0.0,0,0.0,2022-01-30,False
498,-16,balquaz,1458.72,-0.1,1538.52,-0.1,26.6,0.0,355,201,152,2,56.62,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-06-02,True
499,-14,clue72,1458.56,0.43,1563.23,0.46,34.89,0.01,128,72,56,0,56.25,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-09-22,True
500,210,holy834,1458.46,98.03,1608.88,66.98,50.14,-10.35,79,60,19,0,75.95,23.0,19.0,4.0,0.0,2.74,0,0.0,2025-01-08,True
501,-29,kojtic,1458.4,-5.21,1568.92,-4.19,36.84,0.34,112,61,51,0,54.46,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-09-15,True
-,-,drzewko,1458.39,-0.6,1544.55,-0.66,28.72,-0.02,245,118,125,2,48.16,0.0,0.0,0.0,0.0,0.0,0,0.0,2023-04-16,False
502,-18,sorpy,1458.34,0.17,1544.8,-0.01,28.82,-0.06,261,149,108,4,57.09,15.0,11.0,4.0,0.0,0.99,0,0.0,2024-12-13,True
503,-17,kopu,1457.96,-0.08,1564.49,-0.02,35.51,0.02,144,90,52,2,62.5,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-07-28,True
504,-21,mickeystein,1457.82,-0.8,1539.81,-0.8,27.33,0.0,294,168,123,3,57.14,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-29,True
-,-,g.threepwood,1457.71,0.19,1543.42,0.13,28.57,-0.02,260,127,108,2,53.59,0.0,0.0,0.0,0.0,0.0,0,0.0,2023-05-08,False
505,-18,siccarius,1457.39,-0.31,1540.37,-0.31,27.66,0.0,318,155,136,0,53.26,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-06-02,True
506,-1,hypodg,1456.61,5.01,1533.59,5.37,25.66,0.12,638,332,290,6,52.87,15.0,11.0,4.0,0.0,0.5,0,0.0,2024-12-18,True
507,-10,pat_the_cat,1456.52,1.11,1625.42,1.05,56.3,-0.02,56,36,20,0,64.29,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-08-11,True
-,-,xdoge,1456.34,0.0,1555.37,0.0,33.01,0.0,162,67,71,2,47.86,0.0,0.0,0.0,0.0,0.0,0,0.0,2021-06-02,False
508,38,samatra,1456.17,26.73,1599.69,22.35,47.84,-1.46,66,33,31,2,50.0,3.0,3.0,0.0,0.0,2.38,0,0.0,2024-12-16,True
509,6,dulbbong,1455.97,8.39,1621.06,-1.93,55.03,-3.44,60,37,22,1,61.67,15.0,13.0,2.0,0.0,8.34,0,0.0,2024-12-09,True
510,-14,rychlik,1455.82,0.1,1601.08,-0.23,48.42,-0.11,68,27,25,1,50.94,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-04-04,True
511,-19,birnenschorsch,1455.57,-1.25,1602.54,-1.13,48.99,0.04,66,38,28,0,57.58,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-08-11,True
512,-34,crushu,1455.34,-4.74,1533.7,-4.83,26.12,-0.03,419,158,174,6,46.75,3.0,0.0,3.0,0.0,-0.41,0,0.0,2024-12-12,True
513,-19,pelej,1455.19,-0.86,1537.18,-0.86,27.33,0.0,314,108,107,4,49.32,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-30,True
-,-,milah,1455.17,-0.74,1556.84,-0.68,33.89,0.02,150,88,60,2,58.67,0.0,0.0,0.0,0.0,0.0,0,0.0,2022-03-06,False
514,-44,medgar,1454.97,-9.54,1540.59,-10.44,28.54,-0.3,255,142,111,2,55.69,15.0,5.0,10.0,0.0,-1.39,0,0.0,2024-12-11,True
-,-,whiz,1454.89,0.04,1762.24,0.04,102.45,0.0,12,8,3,1,66.67,0.0,0.0,0.0,0.0,0.0,0,0.0,2022-02-01,False
