Rank,Rank Δ,Player,C Rating,C Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Opps Δ,Ws,Ws Δ,Ls,Ls Δ,Ds,Ds Δ,W%,W% Δ,Last Played
15,-3,Lambda,1852.38,-5.42,1945.67,0.0,31.09,1.81,306,0.0,221,0.0,81,0.0,4,0.0,72.22,0.0,2025-04-30
16,-7,Weidenbaum,1851.41,-24.49,1923.83,-18.01,24.14,2.16,1057,20.0,703,8.0,353,12.0,1,0.0,66.51,-0.51,2025-07-15
17,2,Majondor,1848.1,2.33,1918.63,7.16,23.51,1.61,720,17.0,465,11.0,251,5.0,4,1.0,64.58,0.0,2025-07-02
18,-3,funestus,1846.32,-6.59,1929.41,0.0,27.7,2.2,439,0.0,307,0.0,130,0.0,2,0.0,69.93,0.0,2025-05-31
19,-2,wolvs,1845.24,-4.68,1920.05,4.96,24.93,3.21,1022,22.0,698,15.0,316,7.0,8,0.0,68.3,0.0,2025-06-28
20,-7,Eepogi,1838.27,-15.8,1904.39,-9.47,22.04,2.11,964,22.0,599,10.0,357,12.0,8,0.0,62.14,-0.39,2025-07-10
21,-1,saru,1831.5,-3.31,1907.45,6.31,25.31,3.21,950,22.0,628,16.0,308,6.0,14,0.0,66.11,0.16,2025-07-07
-,-,Dirkules,1831.05,-5.37,1930.59,0.0,33.18,1.79,363,0.0,241,0.0,121,0.0,1,0.0,66.39,0.0,2024-07-15
22,0,DANeo,1830.02,-2.34,1900.73,2.72,23.57,1.69,543,15.0,344,10.0,193,5.0,6,0.0,63.35,0.09,2025-07-04
23,0,Sandwhale,1822.94,-1.91,1926.95,1.29,34.67,1.06,302,3.0,204,2.0,98,1.0,0,0.0,67.55,-0.01,2025-07-11
24,1,e5582768,1822.11,4.36,1928.44,0.88,35.44,-1.16,149,15.0,96,10.0,51,4.0,2,1.0,64.43,0.25,2025-07-01
25,-1,mwi,1820.58,2.24,1890.11,6.97,23.18,1.58,475,17.0,316,11.0,157,6.0,2,0.0,66.53,-0.06,2025-07-06
26,2,Lcfyx,1812.42,-1.69,1883.31,2.7,23.63,1.46,649,15.0,407,9.0,238,6.0,4,0.0,62.71,-0.07,2025-07-02
27,-1,Arne,1811.67,-2.95,1881.82,0.88,23.38,1.28,433,20.0,294,12.0,137,8.0,2,0.0,67.9,-0.38,2025-07-02
-,-,Binki,1809.94,-5.16,1913.74,0.0,34.6,1.72,505,0.0,341,0.0,160,0.0,4,0.0,67.52,0.0,2023-12-03
28,-1,Dots,1809.43,-5.11,1921.43,-11.64,37.33,-2.18,206,15.0,148,7.0,58,8.0,0,0.0,71.84,-1.98,2025-07-07
29,8,Eske,1804.57,9.49,1886.58,11.57,27.34,0.69,564,15.0,370,11.0,189,4.0,5,0.0,65.6,0.21,2025-07-15
30,2,pigfans,1803.33,-2.8,1980.59,0.0,59.09,0.93,78,0.0,65,0.0,13,0.0,0,0.0,83.33,0.0,2025-01-05
31,-2,Allfather,1801.93,-10.01,1883.76,-7.51,27.27,0.84,283,15.0,210,6.0,71,9.0,2,0.0,74.2,-1.92,2025-07-04
32,-1,totsilence,1801.39,-8.07,1871.75,-2.82,23.45,1.75,976,17.0,628,9.0,338,8.0,10,0.0,64.34,-0.21,2025-07-07
33,-3,Vovka,1799.1,-12.19,1894.09,-13.04,31.67,-0.28,172,15.0,138,6.0,33,9.0,1,0.0,80.23,-3.85,2025-07-04
-,-,LeonC,1795.08,-2.77,1975.32,0.0,60.08,0.92,168,0.0,130,0.0,36,0.0,2,0.0,77.38,0.0,2020-10-28
34,1,barboucha,1794.72,-4.54,1885.05,2.04,30.11,2.19,429,5.0,301,4.0,125,1.0,3,0.0,70.16,0.11,2025-06-24
35,-1,Sohoof,1792.03,-9.19,1880.31,-8.75,29.43,0.15,282,15.0,200,6.0,81,9.0,1,0.0,70.92,-1.74,2025-07-01
36,-3,dannyboy14,1790.99,-12.59,1864.52,-8.45,24.51,1.38,534,15.0,335,6.0,194,9.0,5,0.0,62.73,-0.66,2025-07-04
37,-1,Gandin,1790.34,-5.58,1860.02,-1.14,23.23,1.48,566,18.0,360,11.0,199,7.0,7,0.0,63.6,-0.09,2025-06-30
38,4,Tamirys,1787.83,0.82,1859.63,5.26,23.93,1.48,962,17.0,563,10.0,393,7.0,6,0.0,58.52,0.0,2025-06-28
39,1,megumi,1786.81,-2.85,1959.14,0.0,57.44,0.95,48,0.0,33,0.0,15,0.0,0,0.0,68.75,0.0,2025-05-14
40,4,Sylvain,1784.41,-0.01,1854.66,3.79,23.42,1.27,902,23.0,533,15.0,363,7.0,6,1.0,59.09,0.16,2025-07-06
