Rank,Rank Δ,Player,Code,C Rating,C Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Opps Δ,Ws,Ws Δ,Ls,Ls Δ,Ds,Ds Δ,W%,W% Δ,Last Played,Title,Leaderboard Rank
1103,new,babaganoosh,-,1008.79,558.79,1468.25,-31.75,153.15,153.15,6,6.0,3,3.0,3,3.0,0,0.0,50.0,50.0,2025-01-31,-,-
1104,new,GoblinMatron,-,1008.7,558.7,1475.95,-24.05,155.75,155.75,6,6.0,3,3.0,3,3.0,0,0.0,50.0,50.0,2025-01-27,-,1035.0
1105,-236,deleted_user_9880390,-,1008.53,-1.31,1380.82,0.0,124.1,0.44,9,0.0,3,0.0,6,0.0,0,0.0,33.33,0.0,2024-04-14,-,1192.0
1106,-274,Thyrus,-,1006.98,-49.2,1345.21,-88.0,112.74,-12.93,15,3.0,5,0.0,10,3.0,0,0.0,33.33,-8.34,2024-12-17,-,627.0
1107,new,Oso,-,1005.91,555.91,1701.35,201.35,231.81,231.81,2,2.0,2,2.0,0,0.0,0,0.0,100.0,100.0,2024-12-05,-,-
-,-,oldmutant,-,1005.46,-1.14,1434.93,0.0,143.16,0.38,10,0.0,4,0.0,5,0.0,1,0.0,40.0,0.0,2023-03-01,-,-
1108,-158,Gurhuntar,-,1004.64,113.48,1364.7,46.24,120.02,-22.41,14,6.0,4,2.0,10,4.0,0,0.0,28.57,3.57,2025-02-05,-,950.0
1109,new,Sonalator,-,1004.11,554.11,1355.05,-144.95,116.98,116.98,13,13.0,5,5.0,8,8.0,0,0.0,38.46,38.46,2025-02-14,-,1427.0
1110,-180,salvor7,CA,1003.91,79.25,1398.45,-56.94,131.51,-45.4,12,6.0,4,2.0,8,4.0,0,0.0,33.33,0.0,2025-02-03,-,885.0
-,-,yoyo0507,-,1003.6,-0.66,1741.59,0.0,246.0,0.22,2,0.0,2,0.0,0,0.0,0,0.0,100.0,0.0,2023-04-02,-,-
-,-,Chubecca,IT,1003.43,-1.18,1418.9,0.0,138.49,0.39,10,0.0,4,0.0,6,0.0,0,0.0,40.0,0.0,2023-03-01,-,-
1111,-238,Bahul,-,1003.36,-1.22,1402.95,0.0,133.2,0.41,9,0.0,3,0.0,6,0.0,0,0.0,33.33,0.0,2024-04-04,-,885.0
1112,-184,Bravo,-,1003.18,77.04,1354.42,-1.48,117.08,-26.17,14,6.0,4,2.0,10,4.0,0,0.0,28.57,3.57,2025-01-27,-,820.0
-,-,BastionvonRaven,-,1003.12,-1.15,1428.42,0.0,141.77,0.38,9,0.0,3,0.0,6,0.0,0,0.0,33.33,0.0,2023-04-16,-,-
1113,-241,DeNnY0810,-,1002.69,-3.12,1163.79,0.0,53.7,1.04,71,0.0,18,0.0,53,0.0,0,0.0,25.35,0.0,2024-04-14,-,986.0
