Rank,Rank Δ,Player,C Rating,C Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Opps Δ,Ws,Ws Δ,Ls,Ls Δ,Ds,Ds Δ,W%,W% Δ,Last Played
188,7,Adamez,1590.93,14.93,1743.59,8.36,50.88,-2.19,74,6.0,51,5.0,23,1.0,0,0.0,68.92,1.27,2025-01-28
189,470,Plunderteig,1588.89,253.44,1966.6,83.38,125.9,-56.68,12,8.0,12,8.0,0,0.0,0,0.0,100.0,0.0,2025-01-29
190,899,devilchn,1588.64,470.36,1890.29,147.19,100.55,-107.73,18,16.0,17,15.0,1,1.0,0,0.0,94.44,-5.56,2025-01-27
191,47,Bulten,1588.62,39.23,1697.29,29.19,36.22,-3.35,128,18.0,87,13.0,39,5.0,2,0.0,67.97,0.7,2025-02-01
192,-32,Papaver,1588.2,-10.57,1696.92,-14.12,36.24,-1.18,210,6.0,128,1.0,80,5.0,2,0.0,60.95,-1.3,2025-01-07
-,-,borostar,1587.76,0.0,1826.0,0.0,79.41,0.0,24,0.0,18,0.0,6,0.0,0,0.0,75.0,0.0,2023-06-06
193,-20,Rhizom,1587.49,-2.08,1686.5,-5.98,33.0,-1.3,186,12.0,101,7.0,84,5.0,1,0.0,54.3,0.28,2025-01-21
194,-28,BoatyMcBoatface,1587.46,-5.76,1684.24,-10.39,32.26,-1.54,236,12.0,140,5.0,95,6.0,1,1.0,59.32,-0.95,2025-01-21
195,-17,treitze,1587.11,0.0,1683.47,0.0,32.12,0.0,342,0.0,184,0.0,154,0.0,4,0.0,53.8,0.0,2024-09-04
196,-15,Swampzombie,1585.38,0.0,1708.87,0.0,41.16,0.0,206,0.0,111,0.0,94,0.0,1,0.0,53.88,0.0,2024-04-28
197,-3,darwinian,1585.34,9.09,1683.69,4.62,32.78,-1.49,180,12.0,114,8.0,65,4.0,1,0.0,63.33,0.23,2025-01-29
198,-16,smollov,1584.84,0.0,1767.56,0.0,60.91,0.0,52,0.0,37,0.0,14,0.0,1,0.0,71.15,0.0,2024-07-01
199,18,Rumbleman,1584.46,24.12,1713.09,17.56,42.88,-2.19,134,8.0,88,7.0,46,1.0,0,0.0,65.67,1.38,2025-01-19
-,-,Anderkent,1584.4,0.0,1732.5,0.0,49.37,0.0,108,0.0,76,0.0,31,0.0,1,0.0,70.37,0.0,2023-04-16
200,-11,Aranwar,1584.28,4.19,1672.0,1.63,29.24,-0.86,406,10.0,206,7.0,196,3.0,4,0.0,50.74,0.49,2025-02-05
201,-18,Padishar,1584.17,-0.45,1663.66,-3.78,26.5,-1.11,370,18.0,220,11.0,149,7.0,1,0.0,59.46,0.08,2025-02-06
202,48,BitterBlossom,1583.93,38.51,1715.07,26.8,43.72,-3.91,94,12.0,66,10.0,28,2.0,0,0.0,70.21,1.92,2025-01-27
203,-18,maxolino,1583.31,-0.14,1661.57,-3.59,26.09,-1.15,366,18.0,210,8.0,154,10.0,2,0.0,57.38,-0.67,2025-01-29
204,-25,eNroamer,1583.02,-3.94,1661.88,-8.0,26.29,-1.36,716,18.0,359,7.0,352,11.0,5,0.0,50.14,-0.29,2025-02-03
-,-,Snuske,1582.46,0.0,1711.28,0.0,42.94,0.0,162,0.0,97,0.0,65,0.0,0,0.0,59.88,0.0,2023-06-04
205,-7,Lothar,1582.36,11.49,1685.45,9.42,34.36,-0.69,226,6.0,131,6.0,95,0.0,0,0.0,57.96,1.14,2025-01-11
206,-26,MartinW,1581.51,-5.18,1663.91,-8.95,27.47,-1.25,342,18.0,195,8.0,145,9.0,2,1.0,57.02,-0.7,2025-02-08
207,18,Straszyk,1581.43,24.97,1713.17,12.6,43.91,-4.12,90,12.0,54,8.0,36,4.0,0,0.0,60.0,1.03,2025-01-20
-,-,TBow,1581.41,0.0,1775.26,0.0,64.62,0.0,70,0.0,50,0.0,19,0.0,1,0.0,71.43,0.0,2023-01-29
-,-,jzebra,1581.37,0.0,1701.72,0.0,40.12,0.0,216,0.0,116,0.0,97,0.0,3,0.0,53.7,0.0,2023-11-15
208,-22,Dragonite,1581.12,-2.25,1659.48,-5.76,26.12,-1.17,310,16.0,184,7.0,120,9.0,6,0.0,59.35,-0.85,2025-02-10
209,-35,wittr,1580.06,-9.35,1662.84,-12.2,27.59,-0.95,330,12.0,187,3.0,141,9.0,2,0.0,56.67,-1.19,2025-01-25
210,-23,madrabbit,1579.63,-2.75,1713.2,-9.43,44.52,-2.23,96,6.0,58,2.0,38,4.0,0,0.0,60.42,-1.8,2025-01-16
211,-19,ChosenWizard,1579.26,1.21,1667.81,-1.9,29.52,-1.04,386,12.0,220,8.0,163,4.0,3,0.0,56.99,0.31,2025-01-30
212,23,HealingAura,1578.67,27.24,1742.44,20.69,54.59,-2.18,54,6.0,39,6.0,15,0.0,0,0.0,72.22,3.47,2025-01-20
213,728,Raskonin,1578.55,364.65,1916.96,139.48,112.81,-75.06,12,8.0,12,8.0,0,0.0,0,0.0,100.0,0.0,2025-01-19
214,-21,JoyBoy,1577.86,0.0,1701.49,0.0,41.21,0.0,120,0.0,81,0.0,39,0.0,0,0.0,67.5,0.0,2024-09-04
215,-15,TrilceAC,1577.33,7.12,1663.09,2.83,28.59,-1.43,444,18.0,242,9.0,198,9.0,4,0.0,54.5,-0.19,2025-02-07
-,-,flaminghito,1576.87,0.0,1694.34,0.0,39.15,0.0,246,0.0,141,0.0,105,0.0,0,0.0,57.32,0.0,2023-07-30
-,-,Ronnan,1575.76,0.0,1787.21,0.0,70.48,0.0,32,0.0,20,0.0,12,0.0,0,0.0,62.5,0.0,2023-05-14
216,-12,Cmacu,1574.72,9.0,1758.13,-1.23,61.14,-3.41,48,6.0,30,4.0,18,2.0,0,0.0,62.5,0.6,2025-01-23
217,-4,brainac,1573.82,12.1,1666.91,8.1,31.03,-1.33,348,12.0,196,9.0,152,3.0,0,0.0,56.32,0.67,2025-01-24
218,-22,shpand,1573.81,0.0,1807.03,0.0,77.74,0.0,30,0.0,23,0.0,7,0.0,0,0.0,76.67,0.0,2024-07-15
219,-4,RudyRunner666,1573.36,12.91,1681.8,10.57,36.15,-0.78,204,6.0,124,6.0,78,0.0,2,0.0,60.78,1.18,2025-01-06
-,-,steve10716,1573.2,0.0,1713.63,0.0,46.81,0.0,162,0.0,107,0.0,55,0.0,0,0.0,66.05,0.0,2023-06-06
-,-,frotes,1573.07,0.0,1730.39,0.0,52.44,0.0,156,0.0,84,0.0,70,0.0,2,0.0,53.85,0.0,2021-12-05
-,-,gnoliy,1573.02,0.0,1773.47,0.0,66.82,0.0,72,0.0,51,0.0,21,0.0,0,0.0,70.83,0.0,2021-03-02
220,-23,Rasmulde,1572.89,0.0,1727.62,0.0,51.58,0.0,90,0.0,57,0.0,33,0.0,0,0.0,63.33,0.0,2024-07-01
221,-45,Haubentaucherwelpe,1572.79,-15.4,1756.0,-29.5,61.07,-4.7,68,6.0,52,3.0,16,3.0,0,0.0,76.47,-2.56,2025-01-28
222,-6,jRune,1572.48,12.13,1691.79,7.82,39.77,-1.44,126,6.0,73,3.0,53,3.0,0,0.0,57.94,-0.39,2025-01-10
-,-,follik,1572.41,0.0,1695.03,0.0,40.87,0.0,150,0.0,96,0.0,52,0.0,2,0.0,64.0,0.0,2023-11-15
223,406,Vali1590,1571.54,223.62,1899.4,106.23,109.29,-39.13,14,8.0,14,8.0,0,0.0,0,0.0,100.0,0.0,2025-01-20
-,-,DarthPsyonic,1571.09,0.0,1719.48,0.0,49.46,0.0,144,0.0,87,0.0,55,0.0,2,0.0,60.42,0.0,2022-06-05
-,-,JeJenan,1570.96,0.0,1718.23,0.0,49.09,0.0,114,0.0,66,0.0,48,0.0,0,0.0,57.89,0.0,2023-06-06
-,-,shadow-knight,1570.42,0.0,1717.96,0.0,49.18,0.0,126,0.0,75,0.0,50,0.0,1,0.0,59.52,0.0,2022-09-04
-,-,Chuckles_the_second,1569.99,0.0,1714.7,0.0,48.24,0.0,90,0.0,55,0.0,35,0.0,0,0.0,61.11,0.0,2023-12-03
224,-23,Grogmir,1569.24,0.0,1714.06,0.0,48.27,0.0,102,0.0,62,0.0,40,0.0,0,0.0,60.78,0.0,2024-03-03
-,-,Kesterer,1567.88,0.0,1883.38,0.0,105.17,0.0,18,0.0,15,0.0,3,0.0,0,0.0,83.33,0.0,2022-09-04
225,-22,DadboBaggins,1567.49,-0.92,1651.36,-6.26,27.96,-1.78,290,20.0,171,8.0,117,11.0,2,1.0,58.97,-1.4,2025-02-06
226,-12,RoxasVen,1567.48,5.86,1652.31,0.73,28.28,-1.71,336,20.0,203,12.0,132,8.0,1,0.0,60.42,-0.02,2025-02-07
227,-28,Jonny125,1566.02,-4.34,1644.51,-5.58,26.16,-0.41,438,6.0,240,2.0,196,4.0,2,0.0,54.79,-0.3,2025-01-15
