Rank,Rank Δ,Player,C Rating,C Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Opps Δ,Ws,Ws Δ,Ls,Ls Δ,Ds,Ds Δ,W%,W% Δ,Last Played,Title
-,-,Foolio,1674.68,-3.42,1821.71,0.0,49.01,1.14,120,0.0,76,0.0,44,0.0,0,0.0,63.33,0.0,2022-09-04,M
119,41,gothark,1674.4,49.48,1824.21,17.66,49.94,-10.6,84,21.0,64,15.0,20,6.0,0,0.0,76.19,-1.59,2025-01-24,-
-,-,qyi,1672.94,-2.36,1881.39,0.0,69.48,0.79,48,0.0,38,0.0,10,0.0,0,0.0,79.17,0.0,2021-03-02,P
-,-,Isaia,1671.62,-4.52,1794.18,0.0,40.85,1.51,165,0.0,102,0.0,62,0.0,1,0.0,61.82,0.0,2024-02-23,M
-,-,maximpodg,1671.06,-3.62,1806.66,0.0,45.2,1.21,132,0.0,75,0.0,57,0.0,0,0.0,56.82,0.0,2023-04-16,M
-,-,slig123,1670.05,-2.64,1858.67,0.0,62.87,0.88,72,0.0,49,0.0,22,0.0,1,0.0,68.06,0.0,2020-12-06,GM
120,-6,Kimmo,1669.05,4.63,1752.49,6.35,27.81,0.57,345,18.0,180,11.0,161,7.0,4,0.0,52.17,0.49,2025-01-19,GM
-,-,Bool,1668.49,-2.23,1888.5,0.0,73.34,0.74,30,0.0,21,0.0,9,0.0,0,0.0,70.0,0.0,2023-07-18,-
-,-,Bonnie,1668.15,-3.04,1831.16,0.0,54.34,1.01,72,0.0,53,0.0,17,0.0,2,0.0,73.61,0.0,2022-12-04,P
-,-,invalidName,1668.1,-3.46,1809.98,0.0,47.29,1.15,180,0.0,102,0.0,77,0.0,1,0.0,56.67,0.0,2023-04-16,GM
-,-,Swirek,1667.64,-3.08,1828.79,0.0,53.72,1.03,96,0.0,64,0.0,31,0.0,1,0.0,66.67,0.0,2022-06-05,P
121,-20,RestlessMe,1664.74,-15.35,1749.85,-15.62,28.37,-0.09,288,21.0,162,8.0,126,13.0,0,0.0,56.25,-1.43,2025-01-24,P
122,8,madrabbit,1664.55,15.69,1767.06,14.14,34.17,-0.52,192,12.0,108,8.0,84,4.0,0,0.0,56.25,0.69,2025-01-24,P
